Title,Review,Date,Rate
I would give ZERO stars if it let me,My experience was excellent! Everyone I had contact with was prof but friendly and supportive,Date de l'expérience:12 octobre 2023,Noté 1 sur 5 étoiles
My experience was excellent,"Things went smoothly, great service.",Date de l'expérience:31 octobre 2023,Noté 5 sur 5 étoiles
Car with damage sold,this company is going to be good job .its works honestly loality .,Date de l'expérience:17 octobre 2023,Noté 5 sur 5 étoiles
good job,Carlos what I felt from him very sincere about his work good spirited guy good vibe excellent customer service     fast service one day talk him about sell my car next day I received a call tow truck to pick up my car,Date de l'expérience:31 octobre 2023,Noté 5 sur 5 étoiles
Good service,Great experience. CarBrain made an offer to buy my car which was beyond my budget to repair. They offered me more than other companies. They told me a tow truck would come to pick up my car and give me a check. I was a little nervous at first but after reading reviews of CarBrain I felt glad about this arrangement. I spoke with Bill Fonseca at CarBrain and we scheduled the pickup. The tow truck driver was respectful and helpful and handed me a check. What a great business!  My experience was excellent and I would recommend CarBrain to anyone in need of their services!,Date de l'expérience:24 octobre 2023,Noté 5 sur 5 étoiles
Wonderful company!,"The process was very fast. Very simple. Once I determined which route I wanted to go ( Immediate offer vs. Setting an Asking Price) within minutes of confirming, I received a call about next steps and scheduling a pick-up. The tow service was prompt and courteous and respectful of our property. Paid the expected amount.",Date de l'expérience:23 octobre 2023,Noté 5 sur 5 étoiles
Simple.,"Very helpful, answered all my questions. Communication was astounding. I would recommend them to anyone who’s looking to sell their old car or truck.",Date de l'expérience:28 octobre 2023,Noté 5 sur 5 étoiles
Awesome guys,"Great experience, Jorge is a great guy, very professional with an amazing customer service attitude. Definitely will recommend CarBrain.",Date de l'expérience:29 octobre 2023,Noté 5 sur 5 étoiles
Great Service,Selling my used SUV with a seized engine to CarBrain was quick and easy. I was skeptical at first. But I received a fair price for my car and CarBrain made the process easy and quickly answered all questions.,Date de l'expérience:29 octobre 2023,Noté 5 sur 5 étoiles
Easy Process & Fair Price,A fair price for my truck; an easy process to arrange pickup and payment on the spot,Date de l'expérience:28 octobre 2023,Noté 5 sur 5 étoiles
A fair price for my truck,Everything  in the process was super easy and everyone I spoke to was helpful and pleasant.,Date de l'expérience:20 octobre 2023,Noté 5 sur 5 étoiles
Great experience with carbrain,The wrecker driver acted like he had a hard time understanding on the phone. Yet when I got to the repair place where my car was he spoke perfect English. It was all in fun and I would definitely deal with this driver again.,Date de l'expérience:28 octobre 2023,Noté 5 sur 5 étoiles
The wrecker driver acted like he had a…,Everything you said would happen an it didI like honest people an I got a good price for my truckThey came when they said they would loaded my truck after looking & taking pictures of it then gave me  check for the amount we agreed to over the phoneVery easy people to work with,Date de l'expérience:28 octobre 2023,Noté 4 sur 5 étoiles
Selling my old truck,Pick up as promised- good price for vehicle,Date de l'expérience:21 octobre 2023,Noté 5 sur 5 étoiles
Pick up as promised- good price for…,"Friendly, fast, reliable & fair",Date de l'expérience:21 octobre 2023,Noté 5 sur 5 étoiles
Nice working,Everyone was very helpful and professional.  Thank you for taking care of this problem for me.,Date de l'expérience:28 octobre 2023,Noté 4 sur 5 étoiles
Everyone was very helpful and…,Received quote online without jumping through a lot of hoops. Vehicle was picked up in little more than an hour after quote.,Date de l'expérience:05 octobre 2023,Noté 5 sur 5 étoiles
Quick and Easy,The process was quick and easy. Got the car removed the next day or the same day... and for a reasonable price. Carbrain.com gave a better offer than the other 3 website I have visited.,Date de l'expérience:27 octobre 2023,Noté 5 sur 5 étoiles
"The process was quick, easy and painless!",Great customer service. The pick up process was easy and fast.,Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
Great customer service,"My experience with CarBrain was great! Midie the Associate Buyer used texting to walk me through the process, Renee in the Management Department contacted me with information to assist me with the vehicle tow and answered all my questions, Tow Truck Driver Mark is very skilled and was kind to me, and Edwardo in the Administrative Department processed the Bill of Sale correctly. I highly recommend CarBrain. Thank you🙏🏽",Date de l'expérience:27 octobre 2023,Noté 5 sur 5 étoiles
Car Brain Is A No Brainer,Very easy streamlined process. The agent was friendly and knowledgeable. It was easy without stress.,Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
Very easy streamlined process,"I get kind of weary about giving my info out to websites and trusting them with information. I didn't want to get scammed. This did not happen to me at all, though! Carlos, the representative I was working with, got back to me very quickly and answered all my questions over a real phone conversation which was simple and fast. It was super easy to sell my car because this company basically does all of the work and I got paid for the car with a check from a local company that came to tow my car. Awesome!!",Date de l'expérience:27 octobre 2023,Noté 5 sur 5 étoiles
"I was skeptical at first, but it went really well for me",I try 3 web sites and Peddle never show up after a call from corporate and a promise I made another appointment. and again no show . Tried Wheely change $ that was offeredTHIS WAS THE FIRST ONE THAT DID WHAT THEY ADVERTISED,Date de l'expérience:25 octobre 2023,Noté 5 sur 5 étoiles
and Peddle never show…,Easy to set up. Prompt pickup and payment,Date de l'expérience:25 octobre 2023,Noté 5 sur 5 étoiles
Friendly but not pushy,Everything you guys do is great good customer service good tow truck driver all was good thank you,Date de l'expérience:27 octobre 2023,Noté 5 sur 5 étoiles
Good experience,Very smooth transfer of vehicle.  Employees were very friendly and knowledgeable.  Edison followed up and stayed on top things. The driver that picked up the vehicle was very punctual and courteous.,Date de l'expérience:18 octobre 2023,Noté 5 sur 5 étoiles
Quick response and pickup.,"Selling my car with CarBrain was easy and very quick. Our representative, Kevin, was very professional and quick to respond to any questions or concerns. Pick up was smooth and friendly.  The whole experience was better than I could have expected. Thank you!",Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
Everything you guys do is great good…,"The service was prompt, and very friendly. They were on time with the scheduled pick-up and relieved me of the burdon of the vehicle in my yard.",Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
Very good experience,"Victor made contact with me after my quote and he remained my transaction contact person.  He worked with me when I discovered I did not have my title.  I was able to text him and got timely responses, didn't have to wait for someone to return my email, like another online car place. I was very happy with the process.  Victor was responsive and professional.",Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
"Simple, quick and professional",I received a response quickly. I was given an option for an estimate on 2 vehicles. Appointment for pic up was very fast. Excellent tow service agent . Documents were exchanged and payment was immediately received.,Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
The service was prompt,Schedule was accurate as promised.Price was higher than I expected.The staff was helpful and proactive.Tow truck driver was respectful and helpful.,Date de l'expérience:26 octobre 2023,Noté 5 sur 5 étoiles
Happy Seller,"I was very skeptical about the whole process but carbrain.com did exactly what they said they would do. They gave me a fair price for my car. They scheduled the tow truck to pick it up. The tow truck came with a check. They took the keys, the title and the car and left. Easy peazy. No hassles no BS.",Date de l'expérience:25 octobre 2023,Noté 5 sur 5 étoiles
Great customer service,"Great customer service! Super quick, helpful and honest. They gave me a great price for our scrap car (better than anything local) and got it within a week! They partner with multiple companies across the US to get you the best price! Our local shop offered us almost $200 less than what we got, so honestly couldn’t be happier with the results. Where we are, the company that picked up the car was Arise Auto Center Junk Cars. Their employees were very kind, professional and quick with the exchange!",Date de l'expérience:25 octobre 2023,Noté 5 sur 5 étoiles
Carbrain made Junking my old car…,Carbrain made Junking my old car practically effortless. Gianna was very nice to work with.,Date de l'expérience:14 octobre 2023,Noté 5 sur 5 étoiles
Easy,"Easy, fast and on time. Payed as promised.",Date de l'expérience:24 octobre 2023,Noté 5 sur 5 étoiles
Edvin was great,"Edvin was great!  Very quick responses , most helpful?",Date de l'expérience:24 octobre 2023,Noté 5 sur 5 étoiles
"Carbrain Great, A and A Towing, Not So Much","Edvin and the other people from Carbrain were great and from their end, everything was smooth and easy. A and A Towing was another story. The original pick-up was to be Saturday, 10.21.2023 between 2:00 and 2:30. At 2:45, I received a call from them telling me they had a flat tire and needed to reschedule for Monday, same time. At 2:50 on Monday, I called A and A to find out if they were still coming. The agent was not at all helpful. She flippantly told me that they had truck problems and the tow truck would arrive in ½ hour. I asked if they would let me know if there were going to be any further delays, and she said sure and hung. Tow driver was great; the experience with him was easy and quick. You might want to think about using a different tow company.",Date de l'expérience:24 octobre 2023,Noté 4 sur 5 étoiles
I got a good price for my truck,I got a good price for my truck. The rep I worked with was great. I got quick responses and was able to do nearly all by text. I stumbled on the service while searching online and couldn’t be happier with the outcome. Highly recommended.,Date de l'expérience:16 octobre 2023,Noté 5 sur 5 étoiles
Thumbs up👍,The process is super easy and they keep me update all the time if my car was picked up already or I got paid already.Definitely I'll use CarBrain again.Thanks.,Date de l'expérience:21 octobre 2023,Noté 5 sur 5 étoiles
The experience I had was excellent the…,"The experience I had was excellent the process of dealing with this company car brain was so easy from filling out the forms to finally having the car picked up. The process was fast easy to understand and hassle free the customer service representative Eddison It was very helpful and explained everything and followed up, which made it even nicer.",Date de l'expérience:21 octobre 2023,Noté 5 sur 5 étoiles
Eddisson was my service agent and was…,"Eddisson was my service agent and was on top of it all!  Awesome experience, no hassle, they did what they said they would do and it was smooth.",Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
Was fast and easy.,Very good experience for me.  Started on line and finished with personal phone calls.The tow truck driver knew my area  and actuallymet me a day ahead of schedule.And Paid me !!  Good deal all around.,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
Very good experience for me,Fast and easy every one was a pleasure to work with.,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
Fast and easy every one was a pleasure…,It was so easy to make the appointment online. They confirmed and picked up exactly when they said they would. They gave me cash for the vehicle. It was the easiest transaction ever. I would definitely recommend Carbrain to anyone.,Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
It was so easy to make the appointment…,The driver got the job done nice and friendly,Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
The driver got the job done nice and…,Guess I wanted to know how they came to the price they offered.  They did respond in a timely manner to all inquiries.,Date de l'expérience:13 octobre 2023,Noté 5 sur 5 étoiles
Guess I wanted to know how they came to…,Corresponding with you to get the best price for you. Letting you know how things are going w/ quick and efficient responses. They made things very simple for me. THAT YOU ALL SO MUCH.,Date de l'expérience:19 octobre 2023,Noté 3 sur 5 étoiles
Corresponding with you to get the best…,Your app is very easy to navigate and very prompt service. Will definitely recommend and use your service again! Thank you.,Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
Your app is very easy,"CarBrain offered the highest amount for my 29 year old, non running car. It was hard to let my car go, since I had put a lot of love, and money into it over 25 years. They even offered to help me sell it for more on their own platform. In the end, they offered more than the 7-10 other companies that I tried to get offers from. They also provided the free towing service for my car, and it was parked on the side of the driveway. The only reason that I cannot give a 5 Star rating, is because I had a lot of difficulty understanding some of the phone operators. Some of them had very strong accents, and seemed like they were in different countries. That was less than favorable. Otherwise, I appreciated getting my check when my car was picked up, and it clearing my bank when I went.",Date de l'expérience:19 octobre 2023,Noté 5 sur 5 étoiles
Hard to let go of a car with engine issues,Simple and easy process. Edison kept tabs to make sure everything was good,Date de l'expérience:22 septembre 2023,Noté 4 sur 5 étoiles
The people I spoke with were very…,"The people I spoke with were very professional, and everything happened in a timely manner.",Date de l'expérience:18 octobre 2023,Noté 5 sur 5 étoiles
Great service from Gianna,Great service from Gianna! Very polite and professional as well as prompt in returning your texts and emails!,Date de l'expérience:18 octobre 2023,Noté 5 sur 5 étoiles
Nice attention and professional,"Nice attention and professional, I recommend you for a great attention and honestly",Date de l'expérience:18 octobre 2023,Noté 5 sur 5 étoiles
I highlt recommend Carbrain.,Everything happened so quickly.  They were great to work with.,Date de l'expérience:10 octobre 2023,Noté 5 sur 5 étoiles
Best place to sell your used or junked car.,What to thank you folks for making this a good experience.  Your program was easy to understand and was quick and simple.  Effortless on my part and I received a fair price for my vehicle.  No hassle and everyone that I had contact with was professional and very accommodating.  Would definitely recommend your service to my friends and family.,Date de l'expérience:17 octobre 2023,Noté 5 sur 5 étoiles
Reputable,It was very easy and I never felt pressured and everything went smoothly.,Date de l'expérience:10 octobre 2023,Noté 5 sur 5 étoiles
Considering the condition of my…,"Considering the condition of my vehicle, I should’ve gotten more than $325",Date de l'expérience:07 octobre 2023,Noté 3 sur 5 étoiles
Customer Care,Thank you Midie for making the sale of my vehicle so easy!  I will keep you in mind when I have another one!,Date de l'expérience:17 octobre 2023,Noté 5 sur 5 étoiles
Easy sale and fair price,"We sold our car through CarBrain and found the experience easy.  Bill provided us with a firm quote for the car after we sent photos.  We were provided with a contact to schedule the pickup who had all the information from CarBrain.  The tow truck driver came that evening, was friendly, and gave us the check for the agreed-on price.",Date de l'expérience:02 octobre 2023,Noté 5 sur 5 étoiles
The process was very easy and well…,"The process was very easy and well explained.  The tow truck showed up within the appointed timeframe.  Everyobe that we spoke with was very helpful, knowledgable, and friendly.",Date de l'expérience:06 octobre 2023,Noté 5 sur 5 étoiles
Carbrain gave me the best price for my…,Carbrain gave me the best price for my ‘05 Lexus! Super fast and easy to use!,Date de l'expérience:15 octobre 2023,Noté 5 sur 5 étoiles
CarBrain made selling my vehicle very simple,CarBrain made selling my vehicle very simple.  I shopped around and CarBrain was the highest paying.  I just gave them my vehicle information and they did all the work.  They came and gave me my check and picked up my vehicle.,Date de l'expérience:14 octobre 2023,Noté 5 sur 5 étoiles
Prompt and professional service from…,Prompt and professional service from the agent who procured the offer to the tow company who came out and picked the car up. Would recommend wholeheartedly!!!,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
Helpful and lots of communication…easy…,Helpful and lots of communication…easy process,Date de l'expérience:13 octobre 2023,Noté 5 sur 5 étoiles
Professional and courteous,"Keidel was patient, courteous and  professional with me, as I was a little indecisive at first.  His follow-up correspondence was very respectful.   A+ service!",Date de l'expérience:06 octobre 2023,Noté 5 sur 5 étoiles
Everything went like it should,On time and payment ready,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
Great,Initial contact was prompt.  Person assigned was courteous and quick to respond to any questions.,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
Very easy process and top dollar given,Very easy and stress free transaction. I highly recommend.,Date de l'expérience:12 octobre 2023,Noté 5 sur 5 étoiles
The transaction was easy and smooth!,"Sophia let me know how the process works and helped me out when I told her that I was ready to sell but had to leave town for several days. Eventhough my offer expired while I was gone, she facilitated picking up where we left off once I returned and I was able to schedule a pick up and transaction that accommodated my schedule.Sophia stayed in touch every step of the way.Thank you for your help!Peter",Date de l'expérience:02 octobre 2023,Noté 5 sur 5 étoiles
Professional,"Professional, very nice and careful about the surrounding property. Thanks a lot car brain!",Date de l'expérience:11 octobre 2023,Noté 5 sur 5 étoiles
Speedy clean up with CarBrain,They were fast to work with. No hassles and corrected my mistakes in a timely manner. The trucking company took plenty of notes and dropped the check off exactly where I wanted. Paid more than i was asking too.,Date de l'expérience:09 octobre 2023,Noté 5 sur 5 étoiles
My experience was flawless and took…,My experience was flawless and took under 15 minutes to complete the entire transaction from start to finish. I’m highly impressed with the promptness of the service I received and would recommend this service to anyone looking for the most painless way to sell a vehicle at a fair price.,Date de l'expérience:11 octobre 2023,Noté 5 sur 5 étoiles
Times scheduled to pick up vehicles…,Times scheduled to pick up vehicles were on point,Date de l'expérience:11 octobre 2023,Noté 5 sur 5 étoiles
They were very helpful and always…,They were very helpful and always contacting me and willing to help with the title.,Date de l'expérience:11 octobre 2023,Noté 5 sur 5 étoiles
Quick and easy,Quick and easy. Everyone was helpful,Date de l'expérience:11 octobre 2023,Noté 5 sur 5 étoiles
Easy process,The entire process from start to finish was quick and painless. Will absolutely use them again!,Date de l'expérience:03 octobre 2023,Noté 5 sur 5 étoiles
Easy pickup,Fast and easy,Date de l'expérience:10 octobre 2023,Noté 5 sur 5 étoiles
Amazing service and communication,"Easy to use, better offers than similar businesses. Partners that handle the towing respond in a timely manner.",Date de l'expérience:10 octobre 2023,Noté 5 sur 5 étoiles
"Easy to use, better offers than similar businesses",trust worthy.  straight forward,Date de l'expérience:10 octobre 2023,Noté 5 sur 5 étoiles
trust worthy,"Seamless, and efficient.  From initial time of contact with Car Brain to Tow Company coming to pick up my vehicle I found the system they use to be both seamless and efficient.",Date de l'expérience:09 octobre 2023,Noté 5 sur 5 étoiles
Seamless,"Leilani made the process for the pick up of my car go smoothly from start to finish,what a asset she is for Car brain!",Date de l'expérience:23 septembre 2023,Noté 5 sur 5 étoiles
Leilani made the process for the pick…,"Good experience.  I was a little leery because I never heard of CarBrain before, but was offered a higher price than the competition.  The pickup was easy.  I would use CarBrain again.",Date de l'expérience:05 octobre 2023,Noté 5 sur 5 étoiles
Good experience,Good experience,Date de l'expérience:30 septembre 2023,Noté 5 sur 5 étoiles
Toyota Prius,I had a car that was almost 20 years old.  Similar sites offered a little more than half of what Carbrain offered.  They told me everything I needed to do step by step and scheduled the pick-up.  They brought me a check when they picked up the car.  Simple.,Date de l'expérience:08 octobre 2023,Noté 5 sur 5 étoiles
Quick & easy,It was a quick clean deal and I had a check in hand in only a few days after contacting Kevin!,Date de l'expérience:07 octobre 2023,Noté 5 sur 5 étoiles
It was a quick clean deal and I had a…,They we willing to do it even though i didn't have my title.,Date de l'expérience:29 septembre 2023,Noté 5 sur 5 étoiles
Was able to sell my old car for a great…,"Was able to sell my old car for a great price and with great ease, highly recommended!",Date de l'expérience:06 octobre 2023,Noté 5 sur 5 étoiles
Made me an offer I couldn't refuse…,Made me an offer I couldn't refuse picked it up at scheduled time. Professional driver knew exactly what to do. Payed me and off he went. Couldn't ask for a better experience.,Date de l'expérience:05 octobre 2023,Noté 5 sur 5 étoiles
fast and easy,Overall the experience was good. The driver ws on time and cordial.,Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Overall the experience was good,Helpful and right to the point and very patient,Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Helpful and right to the point and very…,They salvage company didn't honor the price you quoted.  I was cheated out of $100,Date de l'expérience:04 octobre 2023,Noté 5 sur 5 étoiles
Short Changed,It was an smooth and easy process.,Date de l'expérience:27 septembre 2023,Noté 1 sur 5 étoiles
It was a smooth and easy process.,Fast easy and efficient.  Top dollar too!.,Date de l'expérience:03 octobre 2023,Noté 5 sur 5 étoiles
Fast easy and efficient,"Gianna was AMAZING she helped with everything that I needed. She answered all of my questions, and was there to assist until the very  end!",Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Gianna was AMAZING she helped with…,Helped with uploading documents,Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Great,Easy to work with and worked with me to ensure I was going to be getting the price they offered. Would work with them again!,Date de l'expérience:26 septembre 2023,Noté 5 sur 5 étoiles
Easy to work with and worked with me to…,"Quick, easy and trusted.",Date de l'expérience:26 septembre 2023,Noté 5 sur 5 étoiles
Quick & easy.,Went out of their way to make pick up on scheduled date with prompt payment.,Date de l'expérience:13 septembre 2023,Noté 5 sur 5 étoiles
Excellent experience. …,"I highly recommend CarBrain based on my exceptional experience today! The entire process was incredibly seamless and painless. I reached out for a quote late last night and received a prompt offer in response. Eddison, the associate buyer, was not only courteous but also very quick to address my inquiries.The technician representing Acres Auto Recycling, the third-party buyer, exhibited a high level of professionalism. After a brief inspection of the car, they immediately offered the quoted sale price in cash. Furthermore, I greatly appreciated their proactive communication, as they called ahead to notify me of their arrival time. The whole interaction with Acres Auto Recycling took less than 15 minutes!Remarkably, the entire transaction was completed in less than a day! I will most definitely be recommending CarBrain to my friends and family. Their efficiency and professionalism have left a lasting positive impression on me.",Date de l'expérience:23 septembre 2023,Noté 5 sur 5 étoiles
Amazing experience!,Great products. On time deliveryGreat service,Date de l'expérience:03 octobre 2023,Noté 5 sur 5 étoiles
Great products,"Car was picked up for free, received adequate money for the car",Date de l'expérience:02 octobre 2023,Noté 5 sur 5 étoiles
Car was picked up for free,"From the first encounter on my initial phone call, my entire experience was truly perfect. The gentleman that picked up the vehicle was also great.  Everyone I dealt with was professional & courteous and very personable. I will recommend CarBrain to anyone. Your team makes it effortless.",Date de l'expérience:07 septembre 2023,Noté 4 sur 5 étoiles
Excellent experience,"The driver came on time for the pick up and was courteous and friendly. Most importantly, he presented me with a check for the agreed upon amount and hauled the car away. The entire process took less than 15 minutes.",Date de l'expérience:25 septembre 2023,Noté 5 sur 5 étoiles
Marlyn was very helpful and detailed…,"Marlyn was very helpful and detailed with everything, even sent a highlight ed email on where to sign the title. I emailed her and said I forgot to take my plates off the car and she immediately had them fedexd to me.Thank you",Date de l'expérience:29 septembre 2023,Noté 5 sur 5 étoiles
Erica went above and beyond,Erica went above and beyond to make sure the transaction was completed and went smoothly.,Date de l'expérience:28 septembre 2023,Noté 5 sur 5 étoiles
Great Service,Received a higher price from CarBrain than similar services. Within minutes of accepting the offer Eddison called and immediately connected me to the scheduler. The appointment was made at my convenience. Everyone involved was nice to work with.,Date de l'expérience:25 septembre 2023,Noté 5 sur 5 étoiles
Great service!!,He came on time. But he did not stick to the price negociated $500. He attempted to give me $400 after I refused he gave me $450.,Date de l'expérience:29 septembre 2023,Noté 5 sur 5 étoiles
He came on time,"Super easy. Clear instructions, nothing complicated - did everything from my phone. Helped get rid of an old junker within days. Would definitely use again if I needed to.",Date de l'expérience:28 septembre 2023,Noté 4 sur 5 étoiles
Super easy,"Wow, this was so easy!  They did everything they promised exactly as stated.  Lots of communication opportunity if I had any questions.  And within a couple days my car was sold and picked up.  Very nice people at each transaction.  No fuss at all.  I am very happy with the entire process.",Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Received exactly what I was promised,CarBrain made getting rid of my junk car easy. Also they gave me more money than any other junk car service.,Date de l'expérience:21 septembre 2023,Noté 5 sur 5 étoiles
A really quick and easy experience.,"This was my first time selling a car. Rep gave me the impression he stayed honest all the way through the process, and gave a smooth hand off at the end. Rep was very patient through the process.",Date de l'expérience:28 septembre 2023,Noté 5 sur 5 étoiles
"Wow, so easy!","Midie was great at communicating, the website was easy, and it offered me more than any other website I tried when selling my car.",Date de l'expérience:26 septembre 2023,Noté 5 sur 5 étoiles
Easy,"Suppose you are wondering what to do with your old car. CarBrain in a No-Brainer. Extraordinarily responsive and pleasant to work with.  They did everything they said they would do, and it was all said and done within two days.",Date de l'expérience:19 septembre 2023,Noté 5 sur 5 étoiles
Selling My Car,"I was so glad to find a company to by my vehicle that gave me more than the scrap yard.  Pretty major issue, the engine seized but the rest of the vehicle was in great condition.  Sophie Blanc was of great help.  The only two complaints I have were occasionally a delay in response and I had to call COPART 4 times to schedule a pickup, each time they said it was scheduled.  After that the process was a breeze.",Date de l'expérience:26 juillet 2023,Noté 5 sur 5 étoiles
Midie was great at communicating,"I had an offer from them for an older car for a few hundred dollars set to expire on the 26th. I contacted them on the 25th and accepted their offer, which a female agent verbally confirmed over the phone (this is called a ""contract""). We then moved to the next stage of the sale in which I sent in my title information, where to leave the check, etc. They told me to await a text message from their dispatcher for the exact pick-up time, and I did.Well, I never got the text message, so I e-mailed them the next day, and then the next, asking what was going on. Oops, they didn't want to pay the original amount anymore; they wanted to reduce it by 20%! Something something ""market value."" No, sorry, my car didn't lose 20% of its value in 24 hours, and also, you had an agreement with me, so stick with it.Bottom line: they didn't honor the offer they gave me and then lied to me when I confronted them about it. Don't waste your time with Carbrain.EDIT: They replied with, ""Please reach out to us at [email] and a manager will contact you as soon as possible and look into your file."" Yeah, right. The last thing I want to do is spend another minute of my time on this company.",Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
No-Brainer,It’s company policies and easily handled process that makes the website more easier to use and sell in just one click,Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
"Easy to Use, so much better than a scrap yard","I call around for the best price and helpful knowledge on how get rid of my beloved Ford truck, which I loved driving. With your help and guidance we got the job done. Thank you for all your help !!!",Date de l'expérience:18 septembre 2023,Noté 4 sur 5 étoiles
"Confirmed an Offer, Took My Title Info, Then Tried to Go Back on the Price","The communication was beyond my expectation. Tow truck driver was funny and very friendly. Overall, AMAZING!Thank you for your excellent customer service.",Date de l'expérience:25 septembre 2023,Noté 1 sur 5 étoiles
Best in the market for selling in junk,"Midie was great!  In fact everything was great until the day of the pick-up where they missed the four hour window that they scheduled.  It just seems like there's an opportunity for someone, somewhere to figure this problem out and do better.  Nobody cares about keeping their word or valuing people's time.  It happens all the time.  Everywhere.  Bad business.",Date de l'expérience:27 septembre 2023,Noté 5 sur 5 étoiles
Awesome company,Made it easy and fast to get rid of old unwanted car just taking up space.,Date de l'expérience:24 septembre 2023,Noté 5 sur 5 étoiles
Super easy to sell my car,"Super easy to sell my car. I was in North Carolina, the car was in Virginia and they arranged everything.",Date de l'expérience:12 septembre 2023,Noté 5 sur 5 étoiles
Thanks Edison for everything!!,Thanks Edison for everything!!! You folks at carbrain made my experience easier then expected..keep up the great work I will definitely recommend this company to family and friends.stay blessed .,Date de l'expérience:26 septembre 2023,Noté 5 sur 5 étoiles
it was so easy and they were reasonable…,it was so easy and they were reasonable & on time :),Date de l'expérience:20 septembre 2023,Noté 5 sur 5 étoiles
Awesome Customer Service,"Eddison Estrada was able to guide to me what I needed to do and was honest about how the process would go. He also, answered all my concerns and questions I had. The transaction with the buyer went smooth and was able to do same day pick up after I had gotten a quote. Thank you for the assistance and the great customer service.",Date de l'expérience:23 septembre 2023,Noté 5 sur 5 étoiles
Updated Review.    The carbrain team got in contact with me due to a misunderstanding and made good with the first offer.They picked up the vehicle when promised with the right amount.Great job,1 Word HorribleRun do not walk away from Carbrain.The first offer was ok not Great anegg dr fd then days later they changed it to a much lower offer. Be smart and try someone else and do not fall for there bait and switch offer.,Date de l'expérience:29 août 2023,Noté 5 sur 5 étoiles
No BS just straight Business and only…,No BS just straight Business and only took a couple days,Date de l'expérience:22 septembre 2023,Noté 5 sur 5 étoiles
Great follow up after posting,Great follow up after posting.  Good offer for a car with a blown engine.  Cash on the spot when pickup happened.  Would use again.,Date de l'expérience:21 septembre 2023,Noté 5 sur 5 étoiles
Great to work with.,"They were always keeping me informed about the offers on my car, making sure everything was OK. Very courteous and respectful.",Date de l'expérience:21 septembre 2023,Noté 5 sur 5 étoiles
Carbrain will come through,"The offers are immediate and tend to be fair than most. Also, they are will to pick up from home or business for free. They communicate clearly and often.",Date de l'expérience:21 septembre 2023,Noté 5 sur 5 étoiles
Great experience! Highly recommend!,"I was blown away by the efficient process of Car Brain. My customer service rep(Eddison) did an amazing job answering my questions. It’s hard these days to be super impressed by customer service but Car Brain is definitely doing it right. And, I got the best price for my car compared to other sites. Thank you!",Date de l'expérience:21 septembre 2023,Noté 5 sur 5 étoiles
Very very helpful and fast,Helped me sell my car fast and efficiently and easily,Date de l'expérience:13 septembre 2023,Noté 5 sur 5 étoiles
Goodbye old car...,Very simple and secure transaction.,Date de l'expérience:20 septembre 2023,Noté 5 sur 5 étoiles
great fast service,how easy it was to deal with,Date de l'expérience:13 septembre 2023,Noté 5 sur 5 étoiles
easy to do they picked it up,"I was very happy with this service, Elmer was very patient, and understanding. He assured me that they would pick up our Honda and told me when it would be picked up. They picked it up as he told me.After they took the Honda, Elmer called to see how everything went. He was caring!😊Q",Date de l'expérience:13 septembre 2023,Noté 5 sur 5 étoiles
Satisfied Customer 😊,"I’ve sold 3 vehicles to Carbrain…. Their process is quick, easy, and super convenient.  The drivers were prompt, respectable, and made payment as promised.In an increasingly complicated world, convenience is all the more appreciated.I would recommend their services to anyone in need of quick cash for a vehicle they don’t..",Date de l'expérience:12 septembre 2023,Noté 5 sur 5 étoiles
Super Convenient!!!!,"I had a great experience using CarBrain to sell my used car. My representative helped me through the whole process. It was so easy. My car was towed for free within 2 days. I received a check at the time of pick up. Everyone I spoke to during the 2 day process was polite, professional and very friendly. I would recommend using Carbrain to sell your old, used car.",Date de l'expérience:19 septembre 2023,Noté 5 sur 5 étoiles
Very professional and punctual!,"The process was very quick. Make the call, verify your title, and then they come and tow your vehicle and give you the check on the spot. It was a very painless process.",Date de l'expérience:20 septembre 2023,Noté 5 sur 5 étoiles
